"","Country","region","year","visitors"
"1","China","Asia",2000-02-01,14574
"2","China","Asia",2000-05-01,22690
"3","China","Asia",2000-08-01,27209
"4","China","Asia",2000-11-01,23121
"5","China","Asia",2001-02-01,14256
"6","China","Asia",2001-05-01,23191
"7","China","Asia",2001-08-01,29705
"8","China","Asia",2001-11-01,12813
"9","China","Asia",2002-02-01,15189
"10","China","Asia",2002-05-01,21047
"11","China","Asia",2002-08-01,25750
"12","China","Asia",2002-11-01,15624
"13","China","Asia",2003-02-01,13129
"14","China","Asia",2003-05-01,6441
"15","China","Asia",2003-08-01,19216
"16","China","Asia",2003-11-01,15281
"17","China","Asia",2004-02-01,14123
"18","China","Asia",2004-05-01,16623
"19","China","Asia",2004-08-01,20460
"20","China","Asia",2004-11-01,16643
"21","China","Asia",2005-02-01,17709
"22","China","Asia",2005-05-01,23201
"23","China","Asia",2005-08-01,29024
"24","China","Asia",2005-11-01,21265
"25","China","Asia",2006-02-01,17549
"26","China","Asia",2006-05-01,26202
"27","China","Asia",2006-08-01,32440
"28","China","Asia",2006-11-01,26979
"29","China","Asia",2007-02-01,24728
"30","China","Asia",2007-05-01,32712
"31","China","Asia",2007-08-01,44194
"32","China","Asia",2007-11-01,31025
"33","China","Asia",2008-02-01,31717
"34","China","Asia",2008-05-01,45299
"35","China","Asia",2008-08-01,55426
"36","China","Asia",2008-11-01,33916
"37","China","Asia",2009-02-01,27692
"38","China","Asia",2009-05-01,32991
"39","China","Asia",2009-08-01,74798
"40","China","Asia",2009-11-01,38269
"41","China","Asia",2010-02-01,51496
"42","China","Asia",2010-05-01,60860
"43","China","Asia",2010-08-01,111891
"44","China","Asia",2010-11-01,53676
"45","China","Asia",2011-02-01,63619
"46","China","Asia",2011-05-01,88889
"47","China","Asia",2011-08-01,154686
"48","China","Asia",2011-11-01,73684
"49","China","Asia",2012-02-01,66041
"50","China","Asia",2012-05-01,118026
"51","China","Asia",2012-08-01,211652
"52","China","Asia",2012-11-01,87084
"53","China","Asia",2013-02-01,122672
"54","China","Asia",2013-05-01,150344
"55","China","Asia",2013-08-01,267949
"56","China","Asia",2013-11-01,110389
"57","China","Asia",2014-02-01,121639
"58","China","Asia",2014-05-01,185562
"59","China","Asia",2014-08-01,314081
"60","China","Asia",2014-11-01,124575
"61","China","Asia",2015-02-01,202542
"62","China","Asia",2015-05-01,225832
"63","China","Asia",2015-08-01,360291
"64","China","Asia",2015-11-01,146552
"65","China","Asia",2016-02-01,210772
"66","China","Asia",2016-05-01,244428
"67","China","Asia",2016-08-01,395634
"68","China","Asia",2016-11-01,168496
"69","China","Asia",2017-02-01,184985
"70","China","Asia",2017-05-01,271100
"71","China","Asia",2017-08-01,406161
"72","China","Asia",2017-11-01,173174
"73","China","Asia",2018-02-01,245575
"74","China","Asia",2018-05-01,260403
"75","China","Asia",2018-08-01,388259
"76","China","Asia",2018-11-01,142810
"77","China","Asia",2019-02-01,207495
"78","China","Asia",2019-05-01,254943
"79","China","Asia",2019-08-01,372942
"80","China","Asia",2019-11-01,132230
"81","South Korea","Asia",2000-03-01,45199
"82","South Korea","Asia",2000-06-01,62993
"83","South Korea","Asia",2000-09-01,49612
"84","South Korea","Asia",2000-12-01,56591
"85","South Korea","Asia",2001-03-01,45158
"86","South Korea","Asia",2001-06-01,63924
"87","South Korea","Asia",2001-09-01,37449
"88","South Korea","Asia",2001-12-01,44362
"89","South Korea","Asia",2002-03-01,42956
"90","South Korea","Asia",2002-06-01,59665
"91","South Korea","Asia",2002-09-01,45126
"92","South Korea","Asia",2002-12-01,46874
"93","South Korea","Asia",2003-03-01,38819
"94","South Korea","Asia",2003-06-01,60734
"95","South Korea","Asia",2003-09-01,46099
"96","South Korea","Asia",2003-12-01,48297
"97","South Korea","Asia",2004-03-01,43664
"98","South Korea","Asia",2004-06-01,62410
"99","South Korea","Asia",2004-09-01,48594
"100","South Korea","Asia",2004-12-01,50055
"101","South Korea","Asia",2005-03-01,45616
"102","South Korea","Asia",2005-06-01,68844
"103","South Korea","Asia",2005-09-01,53737
"104","South Korea","Asia",2005-12-01,56898
"105","South Korea","Asia",2006-03-01,50135
"106","South Korea","Asia",2006-06-01,67493
"107","South Korea","Asia",2006-09-01,66193
"108","South Korea","Asia",2006-12-01,62815
"109","South Korea","Asia",2007-03-01,53183
"110","South Korea","Asia",2007-06-01,75208
"111","South Korea","Asia",2007-09-01,67771
"112","South Korea","Asia",2007-12-01,63100
"113","South Korea","Asia",2008-03-01,56082
"114","South Korea","Asia",2008-06-01,72649
"115","South Korea","Asia",2008-09-01,55821
"116","South Korea","Asia",2008-12-01,51434
"117","South Korea","Asia",2009-03-01,46689
"118","South Korea","Asia",2009-06-01,63507
"119","South Korea","Asia",2009-09-01,56147
"120","South Korea","Asia",2009-12-01,80565
"121","South Korea","Asia",2010-03-01,68094
"122","South Korea","Asia",2010-06-01,101045
"123","South Korea","Asia",2010-09-01,97350
"124","South Korea","Asia",2010-12-01,92702
