"","year","country","value"
"1",2000-01-01,"sk",42054.2784020935
"2",2000-01-01,"ca",12726.9502540735
"3",2000-01-01,"vt",288.448486046458
"4",2000-02-01,"sk",52212.5546097661
"5",2000-02-01,"ca",17822.11987795
"6",2000-02-01,"vt",443.214042085494
"7",2000-03-01,"sk",56594.4544278736
"8",2000-03-01,"ca",18603.2064060851
"9",2000-03-01,"vt",551.484956875569
"10",2000-04-01,"sk",57078.186827816
"11",2000-04-01,"ca",24897.8713532916
"12",2000-04-01,"vt",732.594368560374
"13",2000-05-01,"sk",60419.2607242066
"14",2000-05-01,"ca",25302.4903400414
"15",2000-05-01,"vt",666.432600861491
"16",2000-06-01,"sk",58279.893594644
"17",2000-06-01,"ca",23207.4106580555
"18",2000-06-01,"vt",801.976129164738
"19",2000-07-01,"sk",64203.7309878369
"20",2000-07-01,"ca",19908.5078079597
"21",2000-07-01,"vt",725.078711362168
"22",2000-08-01,"sk",48986.7011480936
"23",2000-08-01,"ca",16148.1240979719
"24",2000-08-01,"vt",494.17338138846
"25",2000-09-01,"sk",50232.2504516225
"26",2000-09-01,"ca",19640.6392813878
"27",2000-09-01,"vt",923.699089266481
"28",2000-10-01,"sk",53401.2389691073
"29",2000-10-01,"ca",23476.2363384467
"30",2000-10-01,"vt",1170.86645895597
"31",2000-11-01,"sk",56957.025012166
"32",2000-11-01,"ca",27927.6063466598
"33",2000-11-01,"vt",787.868539093436
"34",2000-12-01,"sk",54080.2709748521
"35",2000-12-01,"ca",20601.6923024864
"36",2000-12-01,"vt",1120.23138738965
"37",2001-01-01,"sk",50418.6998178305
"38",2001-01-01,"ca",16088.1497680836
"39",2001-01-01,"vt",773.172069741071
"40",2001-02-01,"sk",48163.4644210083
"41",2001-02-01,"ca",17433.2469452488
"42",2001-02-01,"vt",1287.27607811596
"43",2001-03-01,"sk",56543.1176144144
"44",2001-03-01,"ca",23103.049880658
"45",2001-03-01,"vt",1416.42076530862
"46",2001-04-01,"sk",60854.4822971613
"47",2001-04-01,"ca",26601.0096184579
"48",2001-04-01,"vt",1619.07301202481
"49",2001-05-01,"sk",57972.8457507894
"50",2001-05-01,"ca",25861.1746794139
"51",2001-05-01,"vt",1198.37168848315
"52",2001-06-01,"sk",59141.2366158784
"53",2001-06-01,"ca",25161.8431978658
"54",2001-06-01,"vt",1172.00278009762
"55",2001-07-01,"sk",63748.789377456
"56",2001-07-01,"ca",21533.0845303052
"57",2001-07-01,"vt",1007.8284225237
"58",2001-08-01,"sk",54919.1178617591
"59",2001-08-01,"ca",17629.4618078671
"60",2001-08-01,"vt",801.610928626846
"61",2001-09-01,"sk",37917.1883246555
"62",2001-09-01,"ca",14647.3652993913
"63",2001-09-01,"vt",723.844195407006
"64",2001-10-01,"sk",31149.2840822589
"65",2001-10-01,"ca",11853.7912806718
"66",2001-10-01,"vt",980.557143526059
"67",2001-11-01,"sk",40166.758233919
"68",2001-11-01,"ca",15476.684404643
"69",2001-11-01,"vt",1088.741959884
"70",2001-12-01,"sk",42393.8255373891
"71",2001-12-01,"ca",14180.0962376188
"72",2001-12-01,"vt",768.074585224253
"73",2002-01-01,"sk",43478.5752076518
"74",2002-01-01,"ca",14486.7405755448
"75",2002-01-01,"vt",626.77904110847
"76",2002-02-01,"sk",51904.7825665969
"77",2002-02-01,"ca",18574.185455344
"78",2002-02-01,"vt",751.18262279931
"79",2002-03-01,"sk",53785.9550964344
"80",2002-03-01,"ca",19267.2991845135
"81",2002-03-01,"vt",1163.06763341065
"82",2002-04-01,"sk",59517.7289061679
"83",2002-04-01,"ca",24239.161577689
"84",2002-04-01,"vt",1419.15497967081
"85",2002-05-01,"sk",56217.854888269
"86",2002-05-01,"ca",23470.3179456524
"87",2002-05-01,"vt",1254.41065233308
"88",2002-06-01,"sk",55200.8929773854
"89",2002-06-01,"ca",22622.4761527306
"90",2002-06-01,"vt",1072.32213127489
"91",2002-07-01,"sk",55772.3004319975
"92",2002-07-01,"ca",18191.3969979126
"93",2002-07-01,"vt",1138.7454120752
"94",2002-08-01,"sk",54580.9693491959
"95",2002-08-01,"ca",15282.2299798881
"96",2002-08-01,"vt",917.441272128632
"97",2002-09-01,"sk",45690.1663686188
"98",2002-09-01,"ca",15965.1463551096
"99",2002-09-01,"vt",907.744286815515
"100",2002-10-01,"sk",50738.2983367676
"101",2002-10-01,"ca",19120.6572167115
"102",2002-10-01,"vt",932.979814668581
"103",2002-11-01,"sk",60654.4548906514
"104",2002-11-01,"ca",18872.0609645004
"105",2002-11-01,"vt",1017.37198564996
"106",2002-12-01,"sk",44794.3775808028
"107",2002-12-01,"ca",14962.1851407307
"108",2002-12-01,"vt",591.505715057758
"109",2003-01-01,"sk",46721.9382407258
"110",2003-01-01,"ca",13202.0936408708
"111",2003-01-01,"vt",605.091185014751
"112",2003-02-01,"sk",47883.1515935865
"113",2003-02-01,"ca",16055.0714887886
"114",2003-02-01,"vt",817.990621790138
"115",2003-03-01,"sk",48605.94540666
"116",2003-03-01,"ca",13232.663510906
"117",2003-03-01,"vt",769.486488973817
"118",2003-04-01,"sk",44172.0102829151
"119",2003-04-01,"ca",9554.6871574518
"120",2003-04-01,"vt",560.296590676336
"121",2003-05-01,"sk",54011.4296291845
"122",2003-05-01,"ca",7182.60644690202
"123",2003-05-01,"vt",518.144881135518
"124",2003-06-01,"sk",56189.9109040228
"125",2003-06-01,"ca",9240.89190981167
"126",2003-06-01,"vt",634.331401599228
"127",2003-07-01,"sk",58916.8630012118
"128",2003-07-01,"ca",10785.4514048134
"129",2003-07-01,"vt",632.119902213172
"130",2003-08-01,"sk",56311.2258955027
"131",2003-08-01,"ca",11404.4012152827
"132",2003-08-01,"vt",928.266537876462
"133",2003-09-01,"sk",46675.3308386952
"134",2003-09-01,"ca",13660.4348195146
"135",2003-09-01,"vt",801.938754772264
"136",2003-10-01,"sk",45063.9041773371
"137",2003-10-01,"ca",15715.3273002394
"138",2003-10-01,"vt",1028.13447238354
"139",2003-11-01,"sk",51070.252618736
"140",2003-11-01,"ca",18457.7549666238
"141",2003-11-01,"vt",1039.76256580182
"142",2003-12-01,"sk",46154.2444429755
"143",2003-12-01,"ca",15482.4636560487
"144",2003-12-01,"vt",753.360512710379
"145",2004-01-01,"sk",49515.0296162799
"146",2004-01-01,"ca",13263.6863021223
"147",2004-01-01,"vt",756.906177670782
"148",2004-02-01,"sk",53992.8270973917
"149",2004-02-01,"ca",17270.6051211945
"150",2004-02-01,"vt",1134.10651945406
"151",2004-03-01,"sk",54672.4542166569
"152",2004-03-01,"ca",19936.3111687079
"153",2004-03-01,"vt",973.347381152179
"154",2004-04-01,"sk",53668.6113152921
