"","year","country","value"
"1",2012-01-01,"sk",44929.2570393832
"2",2012-01-01,"ca",15768.8759155112
"3",2012-01-01,"vt",372.263535666552
"4",2012-02-01,"sk",53560.3518711599
"5",2012-02-01,"ca",17785.641674362
"6",2012-02-01,"vt",463.066468582215
"7",2012-03-01,"sk",54302.8312811888
"8",2012-03-01,"ca",17501.7850278016
"9",2012-03-01,"vt",506.934571662284
"10",2012-04-01,"sk",52397.6603140011
"11",2012-04-01,"ca",20953.2746441797
"12",2012-04-01,"vt",607.24989967648
"13",2012-05-01,"sk",54933.9661068232
"14",2012-05-01,"ca",22926.4410117181
"15",2012-05-01,"vt",611.440857957605
"16",2012-06-01,"sk",53262.631769839
"17",2012-06-01,"ca",21250.3588157489
"18",2012-06-01,"vt",723.89019507418
"19",2012-07-01,"sk",57855.9997449131
"20",2012-07-01,"ca",20233.9559819216
"21",2012-07-01,"vt",701.077351165892
"22",2012-08-01,"sk",47117.7457035178
"23",2012-08-01,"ca",20062.5252653052
"24",2012-08-01,"vt",545.008006763584
"25",2012-09-01,"sk",53937.6208601296
"26",2012-09-01,"ca",21587.8561427828
"27",2012-09-01,"vt",963.6168927177
"28",2012-10-01,"sk",60613.4603061359
"29",2012-10-01,"ca",22264.3942816916
"30",2012-10-01,"vt",1135.8825555735
"31",2012-11-01,"sk",61224.1890620047
"32",2012-11-01,"ca",24726.9893062742
"33",2012-11-01,"vt",781.706273845674
"34",2012-12-01,"sk",59373.7554927507
"35",2012-12-01,"ca",21764.0499015626
"36",2012-12-01,"vt",1229.617365002
"37",2013-01-01,"sk",53865.4997726472
"38",2013-01-01,"ca",19933.4508533866
"39",2013-01-01,"vt",997.834214023501
"40",2013-02-01,"sk",49406.7398349589
"41",2013-02-01,"ca",17397.5646843491
"42",2013-02-01,"vt",1344.93569919099
"43",2013-03-01,"sk",54253.5731984319
"44",2013-03-01,"ca",21735.2107841793
"45",2013-03-01,"vt",1301.99862208988
"46",2013-04-01,"sk",55864.291933624
"47",2013-04-01,"ca",22386.5828704399
"48",2013-04-01,"vt",1342.05498474281
"49",2013-05-01,"sk",52709.6542628506
"50",2013-05-01,"ca",23432.6616792752
"51",2013-05-01,"vt",1099.4861482032
"52",2013-06-01,"sk",54049.822571638
"53",2013-06-01,"ca",23039.9765100317
"54",2013-06-01,"vt",1057.88849600294
"55",2013-07-01,"sk",57446.0375621992
"56",2013-07-01,"ca",21885.0899697763
"57",2013-07-01,"vt",974.467557550027
"58",2013-08-01,"sk",52823.8270596956
"59",2013-08-01,"ca",21902.9480321177
"60",2013-08-01,"vt",884.071038353633
"61",2013-09-01,"sk",40714.1410060266
"62",2013-09-01,"ca",16099.5378217499
"63",2013-09-01,"vt",755.125237747871
"64",2013-10-01,"sk",35356.2188955354
"65",2013-10-01,"ca",11241.8992125045
"66",2013-10-01,"vt",951.259424637871
"67",2013-11-01,"sk",43176.012082724
"68",2013-11-01,"ca",13702.9935548329
"69",2013-11-01,"vt",1080.22643170859
"70",2013-12-01,"sk",46543.4175252144
"71",2013-12-01,"ca",14980.1442324837
"72",2013-12-01,"vt",843.07390262396
"73",2014-01-01,"sk",46450.923792655
"74",2014-01-01,"ca",17949.2816421475
"75",2014-01-01,"vt",808.903472237846
"76",2014-02-01,"sk",53244.6351043506
"77",2014-02-01,"ca",18536.1679286321
"78",2014-02-01,"vt",784.829566236768
"79",2014-03-01,"sk",51608.053729391
"80",2014-03-01,"ca",18126.5595313392
"81",2014-03-01,"vt",1069.11201331341
"82",2014-04-01,"sk",54637.1550184982
"83",2014-04-01,"ca",20398.9249713439
"84",2014-04-01,"vt",1176.34226526198
"85",2014-05-01,"sk",51113.994080917
"86",2014-05-01,"ca",21266.3201398691
"87",2014-05-01,"vt",1150.9009680832
"88",2014-06-01,"sk",50448.6994514858
"89",2014-06-01,"ca",20714.751103841
"90",2014-06-01,"vt",967.913443507849
"91",2014-07-01,"sk",50258.1726937047
"92",2014-07-01,"ca",18488.7752339861
"93",2014-07-01,"vt",1101.0509681772
"94",2014-08-01,"sk",52498.5796915005
"95",2014-08-01,"ca",18986.7332714032
"96",2014-08-01,"vt",1011.81661715693
"97",2014-09-01,"sk",49060.4909887569
"98",2014-09-01,"ca",17547.9666356474
"99",2014-09-01,"vt",946.972600934395
"100",2014-10-01,"sk",57590.8703918964
"101",2014-10-01,"ca",18133.6499198876
"102",2014-10-01,"vt",905.103641903962
"103",2014-11-01,"sk",65198.6267345401
"104",2014-11-01,"ca",16709.2461797166
"105",2014-11-01,"vt",1009.4146733318
"106",2014-12-01,"sk",49178.9403786326
"107",2014-12-01,"ca",15806.3589756644
"108",2014-12-01,"vt",649.263810066728
"109",2015-01-01,"sk",49916.0145496934
"110",2015-01-01,"ca",16357.585461703
"111",2015-01-01,"vt",780.913732714044
"112",2015-02-01,"sk",49119.191106824
"113",2015-02-01,"ca",16022.2100688005
"114",2015-02-01,"vt",854.630026574528
"115",2015-03-01,"sk",46637.7930375554
"116",2015-03-01,"ca",12449.2104778968
"117",2015-03-01,"vt",707.325374562973
"118",2015-04-01,"sk",40549.816292742
"119",2015-04-01,"ca",8040.9277286605
"120",2015-04-01,"vt",464.431700650235
"121",2015-05-01,"sk",49107.8839606184
"122",2015-05-01,"ca",6508.11840266532
"123",2015-05-01,"vt",475.389334582821
"124",2015-06-01,"sk",51352.5737448511
"125",2015-06-01,"ca",8461.61908169994
"126",2015-06-01,"vt",572.568515877882
"127",2015-07-01,"sk",53091.8368500259
