Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","1990","YR1990","317.884673040928"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2000","YR2000","959.372483639691"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2001","YR2001","1053.10824300452"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2002","YR2002","1148.5082904417"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2003","YR2003","1288.64325183381"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2004","YR2004","1508.66809788266"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2005","YR2005","1753.41782925823"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2006","YR2006","2099.22943460447"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2007","YR2007","2693.97006340526"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2008","YR2008","3468.30460207434"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2009","YR2009","3832.23643246702"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2010","YR2010","4550.4531077571"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2011","YR2011","5614.35213522574"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2012","YR2012","6300.61511825789"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2013","YR2013","7020.33848453658"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2014","YR2014","7636.11660125265"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2015","YR2015","8016.43143498352"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2016","YR2016","8094.36336674652"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2017","YR2017","8816.98690451883"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2018","YR2018","9905.34200388822"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2019","YR2019","10143.8381955585"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2020","YR2020","10408.6697561349"
GDP per capita (current US$),"NY.GDP.PCAP.CD","China","CHN","2021","YR2021","12556.3331200058"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","1990","YR1990","23888.6000088133"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","2000","YR2000","36329.9560727102"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","2001","YR2001","37133.623113437"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","2002","YR2002","37997.7596573051"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","2003","YR2003","39490.2749557007"
